Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,,전날 종가와 오늘 시가의 오차
2021-03-24,407.32,408.76,404.03,407.1,193067522,-0.0039,0,-1.61,8.89E+12,1.82E+15,-0.003939223,-0.538094558,44.40969482,411.684,412.4755,414.5406667,422.0265763,402.9244237,1.43,0.07
2021-03-25,407.03,411.27,405.59,408.53,180928891,0.0035,1,1.43,9.18E+12,1.83E+15,0.00351265,-0.585624865,45.82973214,409.978,412.544,415.1608333,421.9603037,403.1276963,4.36,0.63
2021-03-26,409.16,413.04,409.13,412.89,305214884,0.0107,1,4.36,1.21E+13,1.85E+15,0.010672411,-0.299339877,50.02169441,409.974,412.0625,415.7226667,420.3001717,403.8248283,0.84,1.01
2021-03-29,413.9,414.72,410.45,412.05,312523549,-0.002,0,-0.84,1.19E+13,1.84E+15,-0.00203444,-0.150003057,49.23124392,409.856,412.1695,416.258,420.3479362,403.9910638,4.56,0.27
2021-03-30,412.32,417.44,412.32,416.61,207510587,0.0111,1,4.56,9.83E+12,1.87E+15,0.011066618,0.250626093,53.52471529,411.436,412.26,416.847,420.5914921,403.9285079,1.57,0.51
2021-03-31,417.12,420.18,415.04,415.04,225861316,-0.0038,0,-1.57,9.78E+12,1.86E+15,-0.003768513,0.395985259,51.89738024,413.024,411.9985,417.2761667,419.6046745,404.3923255,4.38,1.95
2021-04-01,416.99,419.78,416.51,419.42,184612687,0.0106,1,4.38,1.01E+13,1.88E+15,0.0105532,0.752538746,55.92351839,415.202,412.261,417.6018333,420.4860177,404.0359823,4.32,2.77
2021-04-02,422.19,425.13,422.02,423.74,163071252,0.0103,1,4.32,9.78E+12,1.89E+15,0.010299938,1.217229371,59.52210669,417.372,412.848,417.897,422.4715391,403.2244609,1.11,1.41
2021-04-05,425.15,426.31,422.16,424.85,157714378,0.0026,1,1.11,8.56E+12,1.90E+15,0.002619531,1.517709395,60.41636873,419.932,413.6735,418.2765,424.3801284,402.9668716,1.03,0.33
2021-04-06,425.18,427.68,423.35,425.88,162958103,0.0024,1,1.03,9.70E+12,1.90E+15,0.002424385,1.690949158,61.27139156,421.786,414.678,418.5276667,425.9901892,403.3658108,0.82,0.34
2021-04-07,426.22,428.38,424.96,426.7,176730569,0.0019,1,0.82,8.79E+12,1.91E+15,0.001925425,1.75809995,61.97557538,424.118,415.839,418.469,427.081802,404.596198,0.16,0.03
2021-04-08,426.73,427.32,424.36,426.86,221926601,0.0004,1,0.16,1.05E+13,1.91E+15,0.000374971,1.709109351,62.12030301,425.606,416.631,418.3978333,428.6117961,404.6502039,2.56,0.4
2021-04-09,427.26,428.65,423.33,424.3,166987150,-0.006,0,-2.56,9.04E+12,1.90E+15,-0.005997282,1.412412296,58.29699205,425.718,417.0395,418.3383333,429.4727015,404.6062985,0.08,0.43
2021-04-12,424.73,426.62,423.1,424.22,134969240,-0.0002,0,-0.08,8.54E+12,1.90E+15,-0.000188546,1.131059616,58.17649171,425.592,417.5415,418.2356667,430.279359,404.803641,4.86,0.18
2021-04-13,424.4,429.84,423.89,429.08,162002427,0.0115,1,4.86,1.00E+13,1.92E+15,0.01145632,1.18675481,63.15856029,426.232,418.13,418.2228333,431.8224943,404.4375057,1.63,0.06
2021-04-14,429.14,431.65,428.04,430.71,154421184,0.0038,1,1.63,9.49E+12,1.93E+15,0.003798825,1.241949539,64.6782921,427.034,418.965,418.3941667,433.5578715,404.3721285,1.95,0.3
2021-04-15,430.41,434.4,430.39,432.66,189530637,0.0045,1,1.95,1.26E+13,1.94E+15,0.004527408,1.311528187,66.46073487,428.194,419.745,418.7635,435.4708736,404.0191264,0.23,0.23
2021-04-16,432.43,434.57,430.98,432.43,188081986,-0.0005,0,-0.23,1.09E+13,1.94E+15,-0.000531595,1.244363223,66.03744093,429.82,420.721,418.9481667,437.0406567,404.4013433,0.47,0.31
2021-04-19,432.74,434.28,431.16,431.96,172933066,-0.0011,0,-0.47,1.02E+13,1.94E+15,-0.001086881,1.076858516,65.1246382,431.368,421.687,419.0806667,438.2641253,405.1098747,2.64,0.06
2021-04-20,431.9,434.7,431.38,434.6,185746264,0.0061,1,2.64,9.18E+12,1.95E+15,0.006111677,1.051262231,67.81568768,432.472,422.9815,419.1528333,439.3450806,406.6179194,7.85,1.2
2021-04-21,433.4,433.47,425.93,426.75,187757229,-0.0181,0,-7.85,1.15E+13,1.92E+15,-0.018062586,0.444109863,54.37918931,431.68,423.964,419.1465,438.6711906,409.2568094,0.62,0.31
2021-04-22,427.06,430.44,427.06,427.37,202883079,0.0015,1,0.62,9.57E+12,1.92E+15,0.001452841,0.043800736,55.13526925,430.622,424.906,418.981,437.8454937,411.9665063,0.97,0.69
2021-04-23,426.68,428.87,422.92,428.34,215677962,0.0023,1,0.97,9.95E+12,1.93E+15,0.002269696,-0.183641838,56.35401672,429.804,425.6785,419.0078333,437.4481683,413.9088317,4.02,0.55
2021-04-26,428.89,432.36,428.68,432.36,244075329,0.0094,1,4.02,1.06E+13,1.95E+15,0.009385068,-0.095749658,61.07348613,429.884,426.694,419.1526667,436.9984367,416.3895633,0.22,0.1
2021-04-27,432.46,433.43,430.36,432.14,216227864,-0.0005,0,-0.22,1.15E+13,1.95E+15,-0.000508835,-0.085187879,60.68674174,429.392,427.4705,419.415,436.9237523,418.0172477,4.66,0.06
2021-04-28,432.2,432.82,426.88,427.48,261384364,-0.0108,0,-4.66,1.26E+13,1.92E+15,-0.010783542,-0.406805229,53.02696664,429.538,428.0925,419.797,435.6365702,420.5484298,1.2,0.59
2021-04-29,428.07,430.14,424.83,426.28,231945551,-0.0028,0,-1.2,1.29E+13,1.92E+15,-0.002807149,-0.698030001,51.23364789,429.32,428.4355,419.9775,434.9206352,421.9503648,3.92,0.33
2021-04-30,426.61,426.83,421.73,422.36,255787063,-0.0092,0,-3.92,1.25E+13,1.90E+15,-0.009195834,-1.126931904,45.78629275,428.124,428.3665,419.9996667,435.0755037,421.6574963,2,0.18
2021-05-03,422.54,426.3,419.3,420.36,234399626,-0.0047,0,-2,1.16E+13,1.89E+15,-0.004735297,-1.494545,43.25911025,425.724,428.142,419.9188333,435.5687613,420.7152387,3.21,0.63
2021-05-04,420.99,423.57,418.53,423.57,208973402,0.0076,1,3.21,1.04E+13,1.90E+15,0.007636312,-1.468576172,48.20088748,424.01,428.0265,420.0065,435.6593717,420.3936283,3.07,0.05
2021-05-06,423.62,426.64,421.25,426.64,313800584,0.0072,1,3.07,1.20E+13,1.92E+15,0.007247917,-1.202866441,52.46490891,423.842,428.0235,420.0621667,435.6585017,420.3884983,1.92,0.13
2021-05-07,426.51,429.94,426,428.56,229119524,0.0045,1,1.92,1.02E+13,1.93E+15,0.004500281,-0.871469435,54.96194176,424.298,428.1085,420.2223333,435.7276319,420.4893681,7.07,0.48
2021-05-10,429.04,436.73,429.04,435.63,255442935,0.0165,1,7.07,1.25E+13,1.96E+15,0.016497107,-0.185626074,62.72644401,426.952,428.675,420.5176667,436.7484838,420.6015162,6.86,1.49
2021-05-11,434.14,434.14,427.21,428.77,301803534,-0.0157,0,-6.86,1.46E+13,1.94E+15,-0.015747308,-0.202132624,53.15145087,428.634,428.9025,420.6696667,436.7131667,421.0918333,6.91,0.03
