Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,,
2018-10-22,276.78,279.89,275.99,279.4,62448017,0.0028,1,0.77,2.89981E+12,1.25506E+15,0.002763522,-1.110659818,36.42191365,278.492,288.869,292.8905,308.0803757,269.6576243,272.54,6.86,2.09
2018-10-23,277.31,277.57,270.72,272.54,88689272,-0.0246,2,-6.86,5.55919E+12,1.22265E+15,-0.024552613,-1.233473438,29.64093837,277.62,287.691,292.5235,307.8502658,267.5317342,271.36,1.18,1.53
2018-10-24,274.07,274.24,270.64,271.36,99127483,-0.0043,2,-1.18,5.24794E+12,1.21926E+15,-0.00432964,-1.284118646,28.65275319,275.882,286.427,292.1213333,307.3394031,265.5145969,266.72,4.64,6.9
2018-10-25,264.46,267.09,262.97,266.72,120406748,-0.0171,2,-4.64,6.48394E+12,1.2E+15,-0.017099057,-1.504757535,25.10804891,273.73,284.811,291.6525,306.5535481,263.0684519,262.69,4.03,0.32
2018-10-26,267.04,267.04,260.16,262.69,111377919,-0.0151,2,-4.03,5.39227E+12,1.1794E+15,-0.015109478,-1.778020495,22.5040216,270.542,282.905,291.0815,305.3745612,260.4354388,260.19,2.5,0.13
2018-10-29,262.82,265.29,259.84,260.19,109741941,-0.0095,2,-2.5,5.13732E+12,1.16551E+15,-0.009516921,-1.968248812,21.04581844,266.7,280.785,290.455,303.4256268,258.1443732,262.47,2.28,1.04
2018-10-30,259.15,264.74,259.06,262.47,122394635,0.0088,1,2.28,5.6302E+12,1.17615E+15,0.008762827,-1.786926071,25.76990081,264.686,278.883,289.8746667,300.9601439,256.8058561,264.01,1.54,1.08
2018-10-31,263.55,264.14,261.03,264.01,107853227,0.0059,1,1.54,5.05066E+12,1.18372E+15,0.005867337,-1.425379867,28.8658309,263.216,277.075,289.3173333,297.7616812,256.3883188,262.95,1.06,0.71
2018-11-01,264.72,266.97,262.77,262.95,102278226,-0.004,2,-1.06,4.79882E+12,1.17861E+15,-0.004014999,-1.132503136,28.00018199,262.462,275.396,288.7216667,294.9117971,255.8802029,272.56,9.61,3.21
2018-11-02,266.16,272.79,265.82,272.56,111230624,0.0365,1,9.61,5.30948E+12,1.22039E+15,0.036546872,-0.214504504,44.30674782,264.436,274.435,288.3718333,292.4653561,256.4046439,270.07,2.49,2.34
2018-11-05,270.22,270.45,266.67,270.07,81490998,-0.0091,2,-2.49,3.77609E+12,1.20889E+15,-0.009135603,0.275480585,41.67315783,266.412,273.3745,287.9461667,289.7346632,257.0143368,271.57,1.5,0.94
2018-11-06,271.01,272.01,268.57,271.57,77834307,0.0056,1,1.5,4.09124E+12,1.21649E+15,0.005554116,0.725513853,43.83882192,268.232,272.4575,287.5516667,286.9577784,257.9572216,270.45,1.12,0.14
2018-11-07,271.43,273.79,269.77,270.45,119321151,-0.0041,2,-1.12,4.77293E+12,1.21098E+15,-0.004124167,0.958058734,42.56790729,269.52,271.5875,287.1061667,284.2623047,258.9126953,272.11,1.66,4.43
2018-11-08,274.88,276.34,272.07,272.11,99215698,0.0061,1,1.66,4.71234E+12,1.21792E+15,0.006137918,1.217325216,45.10795381,271.352,271.4355,286.6881667,284.0082713,258.8627287,271.33,0.78,0.14
2018-11-09,272.25,273.57,270.85,271.33,80922694,-0.0029,2,-0.78,4.12338E+12,1.21384E+15,-0.002866488,1.321259472,44.12054034,271.106,271.0335,286.2535,283.068413,258.998587,271.57,0.24,2.67
2018-11-12,268.66,272.27,268.64,271.57,78003512,0.0009,1,0.24,4.51525E+12,1.21061E+15,0.000884532,1.384468693,44.52294283,271.406,270.7525,285.8856667,282.4572151,259.0477849,269.7,1.87,4.54
2018-11-13,267.03,269.89,264.63,269.7,88279879,-0.0069,2,-1.87,4.73951E+12,1.20478E+15,-0.006885886,1.281027963,41.98590452,271.032,270.3925,285.5498333,281.756705,259.028295,268.88,0.82,0.12
2018-11-14,269.58,270.01,267.75,268.88,87327525,-0.003,2,-0.82,4.36393E+12,1.20263E+15,-0.003040415,1.142645633,40.88570467,270.718,269.834,285.1798333,280.3078501,259.3601499,271.54,2.66,0.95
2018-11-15,267.93,271.69,267.68,271.54,74356914,0.0099,1,2.66,3.69293E+12,1.21478E+15,0.009892889,1.209097964,45.84331728,270.604,269.537,284.9015,279.4485349,259.6254651,271.65,0.11,1.41
2018-11-16,272.95,273.52,271.06,271.65,74598298,0.0004,1,0.11,3.48059E+12,1.21603E+15,0.000405097,1.234962329,46.04483296,270.668,269.188,284.6195,278.2493324,260.1266676,272.31,0.66,0.36
2018-11-19,272.01,274.05,270.83,272.31,75006908,0.0024,1,0.66,3.48086E+12,1.22016E+15,0.002429597,1.266316078,47.31163128,270.816,268.8335,284.3478333,276.7516722,260.9153278,269.58,2.73,3.77
2018-11-20,268.54,270.58,268.54,269.58,80899102,-0.01,2,-2.73,3.88036E+12,1.2094E+15,-0.010025339,1.08023878,42.83196344,270.792,268.6855,283.9753333,276.4297662,260.9412338,268.27,1.31,3.62
2018-11-21,265.96,268.49,264.95,268.27,81838470,-0.0049,2,-1.31,3.88242E+12,1.20463E+15,-0.004859411,0.855793393,40.8339754,270.67,268.531,283.5631667,276.1783601,260.8836399,267.76,0.51,0.24
2018-11-22,268.51,269.11,267.15,267.76,64407135,-0.0019,2,-0.51,3.06378E+12,1.20069E+15,-0.00190107,0.668169035,40.05069276,269.914,268.583,283.121,276.1944548,260.9715452,266.33,1.43,0.36
2018-11-23,268.12,268.54,264.86,266.33,58346725,-0.0053,2,-1.43,2.67069E+12,1.19369E+15,-0.005340604,0.453223819,37.85786988,268.85,268.765,282.6341667,275.9671844,261.5628156,269.79,3.46,0.1
2018-11-26,266.43,269.95,266.41,269.79,75646157,0.013,1,3.46,3.5301E+12,1.20882E+15,0.012991402,0.54345759,45.61650583,268.346,269.245,282.1835,275.2827032,263.2072968,272.08,2.29,1.11
2018-11-27,270.9,272.47,269.27,272.08,71912688,0.0085,1,2.29,3.54647E+12,1.21865E+15,0.008488083,0.744336118,50.06063169,268.846,269.7255,281.7645,275.0130003,264.4379997,273.45,1.37,0.56
2018-11-28,272.64,273.53,271.35,273.45,79830421,0.005,1,1.37,3.62054E+12,1.22446E+15,0.005035284,0.943625508,52.55837916,269.882,270.1975,281.3545,275.0252857,265.3697143,274.16,0.71,3.63
2018-11-29,277.08,277.54,273.4,274.16,80652902,0.0026,1,0.71,4.06922E+12,1.22804E+15,0.002596453,1.087201407,53.84671927,271.162,270.758,280.9563333,274.5902192,266.9257808,271.35,2.81,0.37
2018-11-30,274.53,275.51,270.88,271.35,137531112,-0.0102,2,-2.81,5.81254E+12,1.21713E+15,-0.010249489,0.961214555,48.26075937,272.166,270.6975,280.4776667,274.45142,266.94358,276.18,4.83,4.35
2018-12-03,275.7,276.98,273.59,276.18,89066271,0.0178,1,4.83,4.15283E+12,1.23806E+15,0.017799889,1.15825158,56.59560832,273.444,271.003,280.1225,275.4359904,266.5700096,273.29,2.89,1.1
2018-12-04,275.08,275.72,272.03,273.29,80802395,-0.0105,2,-2.89,3.89786E+12,1.2252E+15,-0.01046419,1.052112453,51.27325204,273.686,271.089,279.6973333,275.6281184,266.5498816,271.49,1.8,3.76
2018-12-05,269.53,272.38,269.47,271.49,75635435,-0.0066,2,-1.8,3.34205E+12,1.21756E+15,-0.00658641,0.828675652,48.23092336,273.294,271.141,279.3061667,275.6734691,266.6085309,267.18,4.31,1.31
2018-12-06,270.18,270.18,266.61,267.18,86092868,-0.0159,2,-4.31,4.06059E+12,1.19944E+15,-0.015875355,0.381360813,41.83063969,271.898,270.8945,278.8545,275.7163605,266.0726395,268.28,1.1,1.79
2018-12-07,268.97,269.66,267.03,268.28,68450011,0.0041,1,1.1,3.14743E+12,1.20359E+15,0.004117075,0.161556902,43.87760253,271.284,270.742,278.4448333,275.690384,265.793616,265.35,2.93,3.73
2018-12-10,264.55,266.2,263.63,265.35,77296844,-0.0109,2,-2.93,3.58816E+12,1.19221E+15,-0.010921425,-0.161678489,39.85457106,269.118,270.431,277.9723333,275.8878522,264.9741478,264.69,0.66,0.52
2018-12-11,265.87,265.99,263.87,264.69,70035635,-0.0025,2,-0.66,4.12562E+12,1.19266E+15,-0.002487281,-0.387563599,38.98741751,267.398,270.1805,277.5095,276.1814315,264.1795685,268.47,3.78,1.31
2018-12-12,266,268.84,265.55,268.47,83687595,0.0143,1,3.78,4.15948E+12,1.19151E+15,0.014280857,-0.256356405,46.20647382,266.794,270.16,277.1115,276.1813288,264.1386712,269.41,0.94,0.6
2018-12-13,269.07,271.06,268.22,269.41,145056075,0.0035,1,0.94,6.83859E+12,1.19798E+15,0.003501322,-0.088866649,47.8586783,267.24,270.0535,276.728,276.048719,264.058281,265.55,3.86,0.28
2018-12-14,269.69,269.69,264.44,265.55,99732068,-0.0143,2,-3.86,4.46864E+12,1.18254E+15,-0.014327605,-0.213538016,42.13563004,266.694,269.7485,276.199,276.0028658,263.4941342,266.33,0.78,0.26
2018-12-17,265.81,267.19,265.41,266.33,71454024,0.0029,1,0.78,3.40262E+12,1.18452E+15,0.0029373,-0.218194179,43.60324722,266.89,269.4495,275.7173333,275.7569923,263.1420077,265.18,1.15,1.91
2018-12-18,264.42,266.83,263.93,265.18,90334804,-0.0043,2,-1.15,3.83208E+12,1.17966E+15,-0.004317951,-0.270053837,41.91528806,266.988,269.2295,275.202,275.8046942,262.6543058,267.31,2.13,0.84
2018-12-19,266.02,267.55,265.26,267.31,81750117,0.008,1,2.13,3.6729E+12,1.1896E+15,0.00803228,-0.138843717,46.07888261,266.756,269.1815,274.7131667,275.7978986,262.5651014,264.81,2.5,2.18
2018-12-20,265.13,266.34,263.12,264.81,81335792,-0.0094,2,-2.5,4.03312E+12,1.17809E+15,-0.009352437,-0.194926589,42.25075704,265.836,269.034,274.1426667,275.8974959,262.1705041,265.06,0.25,1.15
2018-12-21,263.66,265.06,263.15,265.06,92599760,0.0009,1,0.25,4.43074E+12,1.1791E+15,0.000944073,-0.18951827,42.7628478,265.738,268.9705,273.5468333,275.9553163,261.9856837,264.45,0.61,1.55
2018-12-24,263.51,265.09,262.96,264.45,61962310,-0.0023,2,-0.61,2.9307E+12,1.17601E+15,-0.002301366,-0.200303217,41.78911823,265.362,268.7035,272.9111667,275.9460942,261.4609058,260.98,3.47,3.36
2018-12-26,261.09,262.49,259.35,260.98,92492817,-0.0131,2,-3.47,4.37265E+12,1.16184E+15,-0.013121573,-0.402734412,36.67339357,264.522,268.1485,272.2523333,275.9506414,260.3463586,260.57,0.41,0.55
2018-12-27,261.53,261.71,259.73,260.57,84457075,-0.0016,2,-0.41,4.08182E+12,1.15868E+15,-0.001571002,-0.518474021,36.11089519,263.174,267.5045,271.5923333,275.5717188,259.4372812,261.98,1.41,1.04
2018-12-28,261.61,262.85,261.27,261.98,62700573,0.0054,1,1.41,2.89564E+12,1.16545E+15,0.005411214,-0.456479905,39.5450658,262.608,266.8955,271.0165,274.6955884,259.0954116,258.23,3.75,1.37
2019-01-02,263.35,263.77,257.47,258.23,69949709,-0.0143,2,-3.75,3.18664E+12,1.14702E+15,-0.01431407,-0.614594304,34.26917759,261.242,266.2395,270.4573333,274.6162356,257.8627644,255.77,2.46,0.04
2019-01-03,258.19,258.7,255.35,255.77,90520685,-0.0095,2,-2.46,3.97192E+12,1.13823E+15,-0.009526391,-0.818654266,31.31743806,259.506,265.219,269.8655,273.4751126,256.9628874,257.89,2.12,0.15
2019-01-04,255.62,258.12,254.55,257.89,91200480,0.0083,1,2.12,4.17387E+12,1.14863E+15,0.008288697,-0.746664078,36.40145476,258.888,264.449,269.3318333,272.4180925,256.4799075,261.57,3.68,3.22
2019-01-07,261.11,263.13,260.76,261.57,92321424,0.0143,1,3.68,3.96024E+12,1.16385E+15,0.01426965,-0.404167494,44.13215827,259.088,263.953,268.8938333,271.3194757,256.5865243,259.65,1.92,0.28
2019-01-08,261.29,262.43,259.39,259.65,86910036,-0.0073,2,-1.92,3.35875E+12,1.15601E+15,-0.007340291,-0.266534717,41.31070698,258.622,263.5765,268.6355,271.0141348,256.1388652,265.6,5.95,1.3
2019-01-09,260.95,266.05,260.87,265.6,98746921,0.0229,1,5.95,4.11464E+12,1.17966E+15,0.022915463,0.238330958,51.63086077,260.096,263.4425,268.406,270.6286614,256.2563386,265.55,0.05,0.13
