Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2010-08-16,225.32,226.9,222.8,226.51,94172956,-0.0022,2,-0.5,3404173097730,812139702674990,-0.0022025461433416993,-1.002775046622881,46.17615584759401,227.7,229.91699999999997,223.2825,235.43422792713835,224.3997720728616,227.96
2010-08-17,225.45,228.34,224.95,227.96,87284754,0.0064,1,1.45,3541859291518,817975827329390,0.006401483378217332,-0.9140255024251087,49.51385205108415,226.88400000000001,230.02299999999997,223.5773333333333,235.29902539796723,224.7469746020327,228.9
2010-08-18,229.14,229.23,227.72,228.9,98507439,0.0040999999999999995,1,0.94,4006674957560,821811803204750,0.00412353044393754,-0.7643091866818996,51.60884522914775,226.868,230.074,223.97850000000003,235.28550419744587,224.86249580255415,231.88
2010-08-19,229.2,232.09,229.01,231.88,95225505,0.013000000000000001,1,2.98,4260565377388,831516093164655,0.013018785495849672,-0.45229840689411316,57.613778365598456,228.452,230.3565,224.3995,235.31004529604766,225.40295470395236,231.17
2010-08-20,230.41,231.44,229.74,231.17,83349133,-0.0031,2,-0.71,3617940300304,829480208234770,-0.0030619285837502064,-0.289377021786559,55.8359776255562,229.28400000000002,230.44,224.75516666666667,235.3892787353306,225.4907212646694,230.2
2010-08-23,231.82,233.01,230.02,230.2,98261733,-0.0042,2,-0.97,4275311312681,826349853182405,-0.0041960461997664344,-0.24437563297015785,53.41111874672348,230.022,230.4065,225.05683333333334,235.35275221758815,225.46024778241184,229.42
2010-08-24,228.6,230.92,227.65,229.42,91425230,-0.0034000000000000002,2,-0.78,4102035861551,822724345463385,-0.003388357949609011,-0.26296092287716144,51.475239466221055,230.314,230.331,225.30816666666666,235.28906776879822,225.37293223120176,225.99
2010-08-25,227.49,228.47,225.98,225.99,91885319,-0.015,2,-3.43,3797972081101,810532173718350,-0.014950745357858897,-0.488944307503714,43.93416581545119,229.73199999999997,230.0525,225.52433333333335,235.31927842708384,224.78572157291617,225.39
2010-08-26,227.2,227.38,225.39,225.39,96279817,-0.0027,2,-0.6,3817917015591,808440695833860,-0.0026549847338378507,-0.6513559859056378,42.75423707013815,228.43399999999997,229.76400000000004,225.6545,235.37724291296894,224.15075708703114,225.52
2010-08-27,224.63,226.04,223.91,225.52,79512583,0.0006,1,0.13,3412283348568,808704644727460,0.0005767780291938696,-0.7173367952456595,43.110737849019415,227.304,229.57750000000001,225.77933333333334,235.48671610706492,223.6682838929351,229.63
2010-08-30,228.17,229.72,227.77,229.63,78131467,0.0182,1,4.11,3229859267703,823337023676815,0.018224547711954475,-0.4637885233273341,53.062882949325655,227.18999999999997,229.448,226.0335,235.23209405179372,223.6639059482063,226.81
2010-08-31,227.88,228.61,226.15,226.81,92864362,-0.0123,2,-2.82,4245328698431,814009825184160,-0.01228062535383001,-0.4644563753628259,46.9888990333712,226.66799999999998,229.11950000000002,226.21233333333336,234.71626504777495,223.52273495222508,229.41
2010-09-01,228.0,229.97,227.3,229.41,109333067,0.0115,1,2.6,4858218637565,824392715457720,0.011463339358934732,-0.27747663107956877,52.39902712508087,227.352,228.933,226.44816666666668,234.22153892866407,223.6444610713359,230.66
2010-09-02,232.03,232.06,229.57,230.66,97587808,0.0054,1,1.25,4695609176221,829983570960690,0.005448759862255459,-0.06820621671029387,54.78802388950515,228.406,228.84650000000002,226.697,233.95972315178943,223.7332768482106,231.04
2010-09-03,231.26,232.01,230.26,231.04,111253556,0.0016,1,0.38,5121018112957,831059122303045,0.0016474464579900872,0.08869934514583538,55.51888303172836,229.51,228.781,226.89399999999998,233.7443935971264,223.81760640287362,232.77
2010-09-06,232.6,233.04,231.73,232.77,105588086,0.0075,1,1.73,4457446452880,836465266758760,0.007487880886426712,0.2905100655001162,58.78535508463866,230.138,228.76249999999996,227.083,233.663128020978,223.8618719790219,232.45
2010-09-07,232.78,233.44,232.23,232.45,83865560,-0.0014000000000000002,2,-0.32,3927530896587,834436509673420,-0.0013747476049319474,0.37839887577652104,57.937827143582155,231.266,228.783,227.26816666666667,233.74138723780175,223.82461276219823,230.94
2010-09-08,231.31,232.06,229.89,230.94,101665632,-0.006500000000000001,2,-1.51,4061455834015,829806823554280,-0.0064960206496019746,0.3134708956630864,53.98277904308245,231.57199999999997,228.881,227.3948333333333,233.92777679316168,223.83422320683832,231.53
2010-09-09,231.93,232.56,230.25,231.53,103676458,0.0026,1,0.59,4912135794470,832607179375970,0.0025547761323287954,0.289466574329696,55.267683117996114,231.746,229.25949999999997,227.5295,233.89168080389737,224.62731919610258,233.93
2010-09-10,232.68,234.95,232.55,233.93,101614786,0.0104,1,2.4,4584800702724,863855584603875,0.01036582732259328,0.4072209743201385,60.14295989223102,232.324,229.60549999999998,227.69883333333334,234.53793337511976,224.6730666248802,236.34
2010-09-13,235.23,236.56,234.83,236.34,121242175,0.0103,1,2.41,5432188740030,872302867782110,0.010302227161971489,0.6073641519515025,64.3452476826825,233.038,230.09700000000004,227.843,235.621208902639,224.57279109736106,235.98
