Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,<-다음날종가,,전날 종가와 다음날 시가 오차,
2024-02-02,345.1,353.44,344.94,353.43,212399308,0.0322,1,11.02,1.14E+13,1.85E+15,0.032183639,1.573924808,67.42548717,341.48,337.2515,338.3776667,349.4376467,325.0653533,349.15,,,0.73,2.159634146
2024-02-05,352.7,352.96,344.95,349.15,189504677,-0.0121,2,-4.28,1.01E+13,1.83E+15,-0.012109894,1.851302715,61.06456101,343.742,337.43,338.7968333,350.1899687,324.6700313,347.8,,,0.92,2.159634146
2024-02-06,348.23,350.43,345.52,347.8,132641752,-0.0039,2,-1.35,7.67E+12,1.82E+15,-0.003866533,1.848581101,59.1684611,345.806,337.6295,339.172,350.8969074,324.3620926,352.25,,,2,2.159634146
2024-02-07,349.8,354.71,348.96,352.25,246754857,0.0128,1,4.45,8.94E+12,1.85E+15,0.01279471,2.036370364,63.22230828,349.008,338.209,339.647,352.8921821,323.5258179,353.29,,,1.19,2.159634146
2024-02-08,353.44,354.96,352,353.29,192010419,0.003,1,1.04,9.21E+12,1.85E+15,0.002952449,2.111464398,64.11890133,351.184,338.8595,340.1466667,354.9384533,322.7805467,357.38,,,3.56,2.159634146
2024-02-13,356.85,358.68,356.1,357.38,156044394,0.0116,1,4.09,9.64E+12,1.88E+15,0.011576892,2.301818112,67.47687874,351.974,339.8175,340.6601667,357.8003161,321.8346839,352.69,,,5.86,2.159634146
2024-02-14,351.52,353.77,350.62,352.69,120507730,-0.0131,2,-4.69,6.87E+12,1.85E+15,-0.013123286,1.988870306,60.48644222,352.682,340.49,340.9723333,359.3220525,321.6579475,351.21,,,3.14,2.159634146
2024-02-15,355.83,356.02,351.21,351.21,121341755,-0.0042,2,-1.48,7.63E+12,1.85E+15,-0.00419632,1.577189763,58.42934926,353.364,341.314,341.254,360.5045825,322.1234175,355.52,,,2.98,2.159634146
2024-02-16,354.19,355.58,352.17,355.52,121460536,0.0123,1,4.31,7.25E+12,1.87E+15,0.01227186,1.491115967,62.43588713,354.018,342.7845,341.645,361.5929752,323.9760248,360.88,,,0.88,2.159634146
2024-02-19,356.4,361.32,356.4,360.88,139812203,0.0151,1,5.36,7.60E+12,1.90E+15,0.015076508,1.677248294,66.73029755,355.536,344.472,342.0891667,363.415201,325.528799,356.92,,,1.35,2.159634146
2024-02-20,359.53,359.92,355.07,356.92,119318634,-0.011,2,-3.96,7.23E+12,1.88E+15,-0.010973177,1.425633366,61.16664323,355.444,345.6685,342.4283333,364.5825607,326.7544393,356.04,,,0.15,2.159634146
2024-02-21,357.07,358.81,354.69,356.04,109115876,-0.0025,2,-0.88,6.40E+12,1.88E+15,-0.002465538,1.106146108,59.97005779,356.114,346.839,342.7488333,365.2719736,328.4060264,357.67,,,2.83,2.159634146
2024-02-22,358.87,358.97,355.86,357.67,128281928,0.0046,1,1.63,7.81E+12,1.88E+15,0.004578137,0.918527043,61.47347168,357.406,347.974,343.0948333,366.1373999,329.8106001,358.57,,,2.73,2.159634146
2024-02-23,360.4,362.72,358.18,358.57,133369668,0.0025,1,0.9,8.11E+12,1.89E+15,0.002516286,0.774715305,62.31506249,358.016,349.239,343.5043333,366.6378999,331.8401001,355.48,,,1.82,2.159634146
