stock,probability,,max,min,mean,median
147_이마트_139480,0.623188406,,,,,
148_영원무역_111770,0.565217391,,,,,
149_동원산업_006040,0.492753623,,,,,
150_더존비즈온_012510,0.536231884,,,,,
151_오뚜기_007310,0.52173913,,,,,
152_효성첨단소재_298050,0.579710145,,,,,
153_신세계_004170,0.623188406,,,,,
154_HD현대인프라코어_042670,0.608695652,,,,,
155_효성티앤씨_298020,0.579710145,,,,,
156_대우건설_047040,0.695652174,,,,,
157_현대엘리베이_017800,0.666666667,,,,,
158_코스맥스_192820,0.565217391,,,,,
159_한전KPS_051600,0.579710145,,,,,
160_현대위아_011210,0.637681159,,,,,
161_에스엘_005850,0.536231884,,,,,
162_한국앤컴퍼니_000240,0.623188406,,,,,
163_SK가스_018670,0.608695652,,,,,
164_하이트진로_000080,0.608695652,,,,,
165_세방전지_004490,0.565217391,,,,,
166_덴티움_145720,0.594202899,,,,,
167_DGB금융지주_139130,0.565217391,,,,,
168_GS건설_006360,0.623188406,,,,,
169_TCC스틸_002710,0.68115942,,,,,
170_솔루엠_248070,0.652173913,,,,,
171_DL이앤씨_375500,0.565217391,,,,,
172_종근당_185750,0.652173913,,,,,
173_녹십자_006280,0.565217391,,,,,
174_코리안리_003690,0.536231884,,,,,
175_에스디바이오센서_137310,0.594202899,,,,,
176_두산퓨얼셀_336260,0.623188406,,,,,
177_대웅제약_069620,0.565217391,,,,,
178_롯데웰푸드_280360,0.608695652,,,,,
179_한샘_009240,0.579710145,,,,,
180_효성_004800,0.536231884,,,,,
181_코스모화학_005420,0.68115942,,,,,
182_동원시스템즈_014820,0.594202899,,,,,
183_현대백화점_069960,0.608695652,,,,,
184_LX세미콘_108320,0.623188406,,,,,
185_솔루스첨단소재_336370,0.594202899,,,,,
186_롯데정밀화학_004000,0.637681159,,,,,
187_롯데칠성_005300,0.579710145,,,,,
188_한국콜마_161890,0.637681159,,,,,
189_KG모빌리티_003620,0.579710145,,,,,
190_영원무역홀딩스_009970,0.536231884,,,,,
191_삼아알미늄_006110,0.637681159,,,,,
192_DL_000210,0.47826087,,,,,
193_HDC현대산업개발_294870,0.608695652,,,,,
194_대덕전자_353200,0.565217391,,,,,
195_SK리츠_395400,0.536231884,,,,,
196_신영증권_001720,0.47826087,,,,,
197_SK네트웍스_001740,0.594202899,,,,,
198_코오롱인더_120110,0.637681159,,,,,
